Name,State,Latitude,Longitude,Status,Commodity Group,,,,,
Holbrook,NSW,-35.7165,147.3616,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Home of Bullion,NT,-21.5127,134.1564,Mineral deposit,Cobalt,,,,,
Homeville,NSW,-32.0105,147.0487,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Honeymoon Well,WA,-26.9200,120.3790,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Hopelands East,WA,-32.3963,115.9070,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Horseshoe,QLD,-20.9639,140.2842,Mineral deposit,Cobalt,,,,,
Huandot,NT,-13.0029,131.1036,Mineral deposit,Magnesium,,,,,
Hurlls Hill,NSW,-31.4809,152.8674,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel,,,,,
Irwin-Coglia,WA,-29.1547,123.0460,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Isabel (Herberton),QLD,-17.3856,145.3632,Mineral deposit,Indium,,,,,
Jacinth-Ambrosia,SA,-30.9076,132.2203,Operating mine,"Heavy mineral sands - Titanium, Zirconium",,,,,
Jamieson Tank,SA,-33.4720,136.3237,Mineral deposit,Manganese Ore,,,,,
Jasper Block,QLD,-20.6883,140.5143,Mineral deposit,Cobalt,,,,,
Jaws,NSW, -33.8565,142.0609,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Jericho,WA,-27.3899,120.5755,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Jimberlana,WA,-32.2370,120.4542,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
John Galt,WA,-17.3458,128.2013,Mineral deposit,Rare Earth Elements (REE),,,,,
John Hill,QLD,-24.6961,150.8603,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Julia Creek,QLD,-20.6391,141.8590,Mineral deposit,"Vanadium, Molybdenum",,,,,
Julimar,WA,-31.5216,116.2102,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel,,,,,
Jurien,WA,-30.3447,115.1773,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Kalkaroo,SA,-31.7290,140.5250,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Kalman,QLD,-21.0459,139.9670,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Kara,TAS,-41.3096,145.7746,Operating mine,Tungsten,,,,,
Kara No. 2,TAS,-41.3105,145.8404,Mineral deposit,Tungsten,,,,,
Kathleen Valley,WA,-27.4694,120.5581,Mine - under development,Lithium +/- Tantalum +/- Niobium,,,,,
Kemerton,WA,-33.1781,115.7441,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Kerrigan-Bradley,WA,-32.6608,118.8313,Mineral deposit,High Purity Alumina,,,,,
Keysbrook,WA,-32.4687,115.9424,Operating mine,"Heavy mineral sands - Titanium, Zirconium",,,,,
Kiaka Hills ,WA ,-30.4529,116.0984,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Kilba,WA,-22.7797,115.5524,Mineral deposit,Tungsten,,,,,
King Island Tailings,TAS,-40.0472,144.0734,Mineral deposit,Tungsten,,,,,
King Tamba,WA,-27.7108,117.2169,Mineral deposit,Lithium +/- Tantalum +/- Niobium,,,,,
